NAME;ARTIKUL
WM-1-33 кабельные маркеры;brd12001
WM-1-3 кабельные маркеры;brd12200
WM-1-10 кабельные маркеры;brd12207
WM-1-33-YL кабельные маркеры;brd12255
WM-1-33-OR кабельные маркеры;brd12260
WM-1-33-BL кабельные маркеры;brd12265
WM-1-33-BR кабельные маркеры;brd12275
WM-34-66-BK кабельные маркеры;brd12281
WM-A-Z кабельные маркеры;brd12290
WM-A-Z-TM кабельные маркеры;brd12377
WM-00-S кабельные маркеры;brd12400
SCN-05-G клипсы;brd133066
SCN-10-2 клипсы;brd133102
SCNGC-15-0-9 клипсы;brd135038
SCNGC-10-0-9 клипсы;brd135054
SCNGC-09-0-9 клипсы;brd135060
SCNGC-10-A-M клипсы;brd135121
SCNGC-09-A-M клипсы;brd135131
ELAT-15-361-5 этикетки;brd14385
"Комплект приложений для Brady Workstation &quot;Идентификация оборудования и проводов&quot; на CD";brd149192
TIL-7-0C-50C обратимая этикетка, 11-уровневая индикация температуры 0-50°C (каждые 5 градусов), 18 х;brd195837
TIL-8-1C-12C обратимая этикетка, 12-уровневая индикация температуры от 1 до 12°C (каждый градус), 90;brd195840
TIL-11-43C-DIA обратимая этикетка, 1-уровневая индикация температуры 43°C (зеленый/красный), диаметр;brd195843
ELAT-44-425 этикетки (флажки Р-форма). 25 листов, 30 флажков на листе. 750 шт. в упаковке.;brd217061
"Риббон R-7960, Resin, черный, размер 40мм х 300м /O, 1 шт. в упак.(BP-PR; i7100)";brd236011
Риббон R-7942, Wax, черный, размер 110мм х 100м /I, 1 шт. в упак. (для принтеров 1024Х,1244,1344);brd237556
"Риббон R-7942, Wax, черный, размер 40ммх 300м /O, 1 шт. в упак.(BP-PR; i7100)";brd237558
Риббон R-7950, Wax/Resin, синий, размер 110мм х 110м /I, 3 шт. в упак. (для принтеров 1024Х,1244;brd250070
Риббон R-7950, Wax/Resin, зеленый, размер 110мм х 110м /I, 3 шт. в упак. (для принтеров 1024Х,1244;brd250071
Риббон R-7950, Wax/Resin, красный, размер 110мм х 110м /I, 3 шт. в упак. (для принтеров 1024Х,1244;brd250072
LAT-3-410-10 этикетки;brd29759
LAT-26-747-10 этикетки;brd29763
LAT-26-652-10 этикетки;brd29765
ELAT-7-773 этикетки;brd29839
"Риббон R-7950, Wax/Resin, черный, размер 25мм х 300м /O, 1 шт. в упак.(BP-PR; i7100)";brd310000
PWM-PK-1 кабельные маркеры, легенда 0-9;brd31201
PWM-PK-2 кабельные маркеры;brd31202
PWM-PK-9 кабельные маркеры;brd31209
PWM-PK-10 кабельные маркеры;brd31210
PWM-PK-15 кабельные маркеры;brd31215
BFS-05 Перманентный быстросохнущий маркер, толщина пера 1 мм;brd335091
PWS-PK-1 кабельные маркеры;brd35551
PWS-PK-14 кабельные маркеры;brd35554
"Риббон R-4400B, Resin, синий, размер 60мм х 300м /O, 1 шт. в упак. (BP-PR; i7100)";brd55726
"Риббон R-4500R, Wax/Resin, красный, размер 60мм х 300м /O, 1 шт. в упак. (BP-PR; i7100)";brd55736
TIL-1-82C/180F Этикетка - индикатор температур (1упак/60 шт.);brd622080
TIL-6-37C/100F Этикетка - индикатор температур (1упак/30 шт.);brd622095
Риббон R-4500S, Wax/Resin, серебристый, размер 56мм x 70м /O, 1 шт. в упак.(BBP11/12);brd622134
"Риббон IP-R-4400-BL, Resin, синий, размер 60мм х 300м /O, 1 шт. в упак. (IP; i5100)";brd66047
"Риббон IP-R-4400-RD, Resin, красный, размер 60мм х 300м /O, 1 шт. в упак. (IP; i5100)";brd66049
"Риббон IP-R-4400-GR, Resin, зеленый, размер 60мм х 300м /O, 1 шт. в упак. (IP; i5100)";brd66096
"Риббон IP-R-4500-BL, Wax/Resin, синий, размер 60мм х 300м /O, 1 шт. в упак. (IP; i5100) ";brd66098
"Риббон IP-R-4500-RD, Wax/Resin, красный, размер 60мм х 300м /O, 1 шт. в упак. (IP; i5100)";brd66156
"Риббон IP-R-6000, Resin, черный, размер 60ммx300м /O, 1 шт. в упак. (IP; i5100)";brd66202
LAT-45-707-10 этикетки;brd67059
Риббон R-6000, Resin, черный, размер 45мм x 100м /I, 1 шт. в упак.(1024Х,1244,1344);brd800729
Риббон R-7950B, Wax/Resin, синий, размер 110мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804454
Риббон R-7950R, Wax/Resin, красный, размер 110мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804456
Риббон R-7960, Resin, черный, размер 35мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804470
Риббон R-6400, Resin, черный, размер 65мм x 70м /O, 1 шт. в упак. (BBP11/12);brd804777
Риббон R-4900, Resin, черный, размер 35мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804792
BLS2000 Ламинирующая система;gws13506
"Приложение для Brady Workstation &quot;Написание LOTO-процедур&quot;, CD, 1 шт/упак";gws145444
"Комплект приложений для Brady Workstation &quot;Печать знаков безопасности для Европы&quot; на CD";gws149227
BMP41-KIT-EU Принтер BMP41. В комплекте: жесткий кейс, аккумуляторная батарея BMP41-BATT, MC1-1000-5;brd133254
BMP21-Plus (RUS) Портативный ленточный принтер-маркиратор с кириллицей. Упаковка блистер.;brd139779
Принтер Brady i7100-300-EU с разрешением 300dpi;brd149046
Промышленный принтер BBP12. Разрешение 300 dpi. В комплекте держатель рулона.;brd195566
Принтер BMP71, русско-англ. клавиатура. В компл: ПО WorkStation для маркировки кабеля и провода (PWI;brd198644
BBP72-34L принтер для двусторонней печати, 300dpi;brd361110
Принтер BMP51, английская клавиатура. В компл.: жесткий кейс, Li-ion аккумулятор 12В, сетевой адапте;brd710894
Wraptor A6500 принтер;brd149244
Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 20Вт, необходим ПК;sicLBOX4ePC-20W
Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 50Вт, необходим ПК;sicLBOX4PC-50W
Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 30Вт;sicLBOX4e-30W
Интегрируемый маркиратор E-smart, окно 50х20мм;sicE-smart
Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 20Вт, необходим ПК;sici104ePC-20W
Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 20Вт;sici104e-20W
Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 50Вт, необходим ПК;sici104lgPC-50W
Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 20Вт, необходим ПК;sicXLBOX4ePC-20W
Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 20Вт;sicXLBOX4e-20W
Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 50Вт, необходим ПК;sicXLBOX4PC-50W
Интегрируемый маркиратор e10-i143, окно 150х100мм;sice10-i143
Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 30Вт, необходим ПК;sicXLBOX4ePC-30W
Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 30Вт;sicXLBOX4e-30W
Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 50Вт;sicXLBOX4-50W
Принтер i5100-300-UKEU, разрешение 300dpi;brd149458
Принтер M611-EU-BT-W с WIFI. В компл.: USB кабель, шнур питания, ремень, PTL-97-488, M61-R4310;brd149570
Принтер BMP61-CYR-W-PWID, русско-англ. клавиатура. В компл.: жесткий кейс, USB кабель, батарея, шнур;brd198634
M71-R4400-WT риббон белый (аналог на TLS/HM R-4410W), Resin, размер 50.8ммх46м;brd114550
M71-R4300 риббон черный (аналог на TLS/HM R-4310 ), Wax/Resin, размер 50.80ммх46м;brd114548
M71-R6600 риббон черный, Resin, размер 50.8ммх46м;brd114557
M71-R6400 риббон черный, Resin, размер 50.8ммх46м;brd114556
LAT-5-759-10 этикетки;brd29752
Риббон R-7950G, Wax/Resin, зеленый, размер 110мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804455
Риббон R-7942, Wax, черный, размер 85мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804448
"Риббон R-4500B, Wax/Resin, синий, размер 60мм х 300м /O, 1 шт. в упак. (BP-PR; i7100)";brd55732
"Риббон R-4400G, Resin, зеленый, размер 60мм х 300м /O, 1 шт. в упак. (BP-PR; i7100)";brd55730
"Риббон R4400-WT, Resin, белый, размер 60мм x 300м /O, 1 шт. в упак. (BP-PR; i7100)";brd81740
LAT-40-799-1 этикетки;brd29684
Риббон R-7961, Resin, черный, размер 110мм x74м /O, 1 шт. в упак. ( BBP11/12);brd622269
Риббон R-4300, Wax/Resin, черный, размер 45мм x 110м /I, 1 шт. в упак. (1024Х,1244,1344);brd800731
Риббон R-7950, Wax/Resin, черный, размер 35мм х 70м /O, 1 шт. в упак. (BBP11/12);brd804466
"Риббон R-4400R, Resin, красный, размер 60мм х 300м /O, 1 шт. в упак. (BP-PR; i7100)";brd55728
Риббон R4400-WT, Resin, белый, размер 102ммx70м /O, 1 шт. в упак. (для BBP11/12);brd114530
"Риббон R-7962, Resin, черный, размер 90мм х 300м /O, 1 шт. в упак.(BP-PR; i7100)";brd236022
ELAT-40-747YL-10 этикетки;brd14399
Риббон без галогенов R6000HF, Resin, черный, размер 65ммx70м /O, 1 шт. в упак. (для BBP11/12);brd196515
Риббон IP R4400-WT 60мм x 300м /O 1 рул/упак (для принтера BP-THT-IP), белый;brd108261
"Риббон R-7961, Resin, черный, размер 60мм х 300м /O, 1 шт. в упак.(BP-PR; i7100)";brd236013
"Риббон IP-R6600, Resin, черный, размер 60ммx300м, 1 шт. в упак. (IP300; IP600; i5100)";brd110039
PWM-PK-4 кабельные маркеры;brd31204
PWM-PK-12 кабельные маркеры;brd31212
PWM-PK-8 кабельные маркеры;brd31208
PWM-PK-13 кабельные маркеры;brd31213
PWM-PK-6 кабельные маркеры;brd31206
PWS-PK-3 кабельные маркеры;brd35553
PWS-PK-2 кабельные маркеры;brd35552
WM-1-33-GR кабельные маркеры;brd12270
WM-A-Z-RD кабельные маркеры;brd12254
WM-GRD кабельные маркеры;brd11859
WM-MIN кабельные маркеры;brd11869
WM-24V кабельные маркеры;brd11805
WM-1-33-RD кабельные маркеры;brd12250
WM-A-Z-YL кабельные маркеры;brd12259
WM-0-9 кабельные маркеры;brd12206
WM-COL-WT кабельные маркеры;brd12356
WM-L1 кабельные маркеры;brd11746
WM-T1 кабельные маркеры;brd11771
WM-1-16-DC кабельные маркеры;brd12450
WM-0-GR кабельные маркеры;brd11600
WM-1-48-TM кабельные маркеры;brd12375
WM-A кабельные маркеры;brd11100
WM-0-RD кабельные маркеры;brd11200
SCNGC-07-0-9 клипсы;brd135064
SCNGC-13-A-M клипсы;brd135125
SCNGC-03-0-9 клипсы;brd135142
SCNGC-05-0-9 клипсы;brd135096
SCNGC-18-0-9 клипсы;brd135072
SCNGC-13-0-9 клипсы;brd135048
SCNGC-07-A-M клипсы;brd135123
TIL-9-2C-8C обратимая этикетка, 2-уровневая индикация температуры 2-8°C (синий/красный треугольник),;brd195841
TIL-10-50C-70C обратимая этикетка, 3-уровневая индикация температуры 50-70°C (зеленый/желтый/красный;brd195842
TIL-1-60C/140F-DIA Этикетка - индикатор температур (1упак/60 шт.), диаметр 13мм;brd622085
TIL-4-82C/180F Этикетка - индикатор температур (1упак/30 шт.);brd622092
TIL-6-149C/300F Этикетка - индикатор температур (1упак/30 шт.);brd622099
Принтер полноцветный струйный J5000-EU;gws148792
Принтер BBP85, русско-английская клавиатура. В компл.: шнур питания, USB кабель, комплект для чистки;gws198690
Принтер BBP33-EU, без клавиатуры. В компл.: шнур питания, USB кабель, краткое руководство пользовате;gws711071
Принтер струйный J2000-EU (шнур питания и адаптер переменного тока, кабель USB, краткое руководство ;gws150159
Принтер S3000-EU без клавиатуры. В комплекте: СD с информацией о принтере, шнур питания, USB кабель;gws149512
BBP37 Multicolour and Cut Sign and Label Printer – CYRILLIC. Цветной промышленный принтер для печати;gws143642
Принтер S3100-CYR-W, клавиатура: русский/английский. В комплекте: шнур питания, USB кабель, комплект;gws149123
BBP35 Multicolour Sign and Label Printer – CYRILLIC. Цветной промышленный принтер для печати знаков ;gws143637
Интегрируемый маркиратор e10-i113S-30, окно 110х60мм, прочерчивание, поршень d=30мм;sice10-i113S-30
Интегрируемый маркиратор e10-i63s, окно 60х30мм, прочерчивание, поршень d=20мм;sice10-i63s
Аппликатор ручной для термоусадочной трубки;brd149474
Внешний держатель рулона для принтера;brdz64
Принтер-аппликатор A5500 для флажковой маркировки. В компл.: ПО Brady Workstation;brd151187
"Комплект приложений для Brady Workstation &quot;Обновление для LabelMark 3, 4, 5&quot; на CD";brd149194
"Комплект приложений для Brady Workstation &quot;Автоматизация данных (Data Automation)&quot; на CD";brd149188
Тест-товар;
"Комплект приложений для Brady Workstation &quot;Сканирование и печать&quot; online ключ";brd149445
"Комплект приложений для Brady Workstation &quot;Лабораторная идентификация&quot; online ключ";brd150498
Интегрируемый маркиратор e10-i124s-30, окно 120х60мм, прочерчивание, поршень d=30мм;sice10-i124s-30
