ID;Название;Web-анонс;Web-название;Web-описание
123793;Портативный маркиратор e10-p63, окно 60x25мм, кабель 7.5м;"Маркировочное окно 60х25мм. Для серийного производства
Большой выбор специальных опций. Подключение к ПК не требуется";Портативный маркиратор e10-p63, окно 60x25мм, кабель 7.5м;"&lt;p style=&quot;text-align: justify;&quot;&gt;Компактный размер оборудования позволяет использовать &lt;strong&gt;p63&lt;/strong&gt; для маркировки угловых соединений и цилиндрических деталей.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Предназначен для маркировки крупногабаритных деталей, стационарных конструкций и труб. Рекомендован производителем для нанесения кодов типа Data Matrix.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Технологичная конструкция максимально облегчает оборудование, обеспечивая высокую надежность и длительный срок службы.&lt;/p&gt;"
123797;Портативный маркиратор e10D-p123, окно 120х25мм, кабель 7.5м, глубокая маркировка;;;
123813;Стационарный маркиратор ec1, окно 100x120мм;"Маркировочное окно 120х100мм. До 200 маркировок в смену. Стол и колонна в комплекте.
Подключение к ПК не требуется.";Стационарный маркиратор ec1, окно 100x120мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Самая интуитивная и эффективная маркировочная система, разработанная специально для маркировки деталей небольшого и среднего размера. На любом материале, от пластика до закаленной стали, вы гарантированно получите стабильную и четкую маркировку. Цифры или буквы, логотипы или 2D-коды, нанесенные на ec1, будут стабильно высочайшего качества и точности.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Программное обеспечение с графическим интерфейсом позволяет в течение 1 часа освоить решение основных маркировочных задач.&lt;/p&gt;
&lt;p&gt;&lt;a href=&quot;sic-promo&quot; target=&quot;_blank&quot;&gt;&lt;img src=&quot;images/1540.jpg&quot; alt=&quot;ударная маркировка&quot; /&gt;&lt;/a&gt;&lt;/p&gt;"
177365;WEICON Эпоксидный минутный клей (24 мл) время застывания 3-4 минуты, температура, стойкости от-35°C ;Идеально подходят для производства с короткими циклами. Особенно высокая прочность соединения достигается при работе с изделиями из металла.;WEICON Эпоксидный минутный клей (24 мл);Идеально подходят для производства с короткими циклами. Особенно высокая прочность соединения достигается при работе с изделиями из металла.
177366;WEICON Fast-Metal минутный клей (24 мл) Эпоксидный сталенаполненный минутный клей для метала, пастоо;Идеально подходят для производства с короткими циклами. Особенно высокая прочность соединения достигается при работе с изделиями из металла.;WEICON Fast-Metal эпоксидный минутный клей (24 мл), сталенаполненный;Идеально подходят для производства с короткими циклами. Особенно высокая прочность соединения достигается при работе с изделиями из металла.
177395;WEICON Plastic-Bond (24 мл) Двухкомпонентный конструкционный клей. Для пластмасс. Высокопрочный. Удо;Предназначен для склеивания всех видов  металла, стекла, пластика. Подходит для вертикальных поверхностей;WEICON Plastic-Bond (24 мл) двухкомпонентный конструкционный клей;Предназначен для склеивания всех видов  металла, стекла, пластика. Подходит для вертикальных поверхностей
177398;WEICON Easy-Mix RK-7000 (50 г) Двухкомпонентный конструкционный клей. Высокая вязкость. Высокая сила;"Производство резервуаров, техники автоматического регулирования,
металлоконструкций, щитов рекламной техники, отопительного и вентиляционного оборудования";WEICON Easy-Mix RK-7000 (50 г) двухкомпонентный конструкционный клей;WEICON RК-7000 - высокопрочный, конструкционный клей на основе метилметакрилата. Используется для склеивания пластика, металлов, дерева, керамики в машиностроении, производстве отопительного и вентиляционного оборудования, приборостроении, деревообработке, а также в монтаже рекламных конструкций и моделестроении.
177426;WEICON Easy-Mix S 50 (50 мл) Эпоксидный клей затвердевающий 4-5 минут, желтый;Серия эпоксидных клеев с системой Easy-Mix без наполнения. Подходит для производства как с короткими, так и с затяжными монтажными циклами.;WEICON Easy-Mix S 50 (50 мл) эпоксидный клей;Серия эпоксидных клеев с системой Easy-Mix без наполнения. Подходит для производства как с короткими, так и с затяжными монтажными циклами.
177427;WEICON Easy-Mix N 50 (50 мл) Эпоксидный клей затвердевающий 45 минут, желтый;Серия эпоксидных клеев с системой Easy-Mix без наполнения. Подходит для производства как с короткими, так и с затяжными монтажными циклами.;WEICON Easy-Mix N 50 (50 мл) эпоксидный клей;Серия эпоксидных клеев с системой Easy-Mix без наполнения. Подходит для производства как с короткими, так и с затяжными монтажными циклами.
177428;WEICON Easy-Mix N 5000 (50 мл) Эпоксидный клей затвердевающий 20 минут, прозрачный;Серия эпоксидных клеев с системой Easy-Mix без наполнения. Подходит для производства как с короткими, так и с затяжными монтажными циклами.;WEICON Easy-Mix N 5000 (50 мл) эпоксидный клей;Серия эпоксидных клеев с системой Easy-Mix без наполнения. Подходит для производства как с короткими, так и с затяжными монтажными циклами.
177429;WEICON Easy-Mix HT 180 (50 мл) Эпоксидный клей устойчив к высоким температурам, черный;Двухкомпонентные клеящие составы на основе эпоксидной смолы и отвердителя с наполнением из металла и минералов. Для ремонта металлических изделий, изделий из керамики, стекла, пластика, камня.;WEICON Easy-Mix HT 180 (50 мл) эпоксидный клей устойчивый к высоким температурам;Двухкомпонентные клеящие составы на основе эпоксидной смолы и отвердителя с наполнением из металла и минералов. Для ремонта металлических изделий, изделий из керамики, стекла, пластика, камня.
177430;WEICON Easy-Mix Metal (50 мл) Эпоксидный клей затвердевающий 5 минут, серый;Двухкомпонентные клеящие составы на основе эпоксидной смолы и отвердителя с наполнением из металла и минералов. Для ремонта металлических изделий, изделий из керамики, стекла, пластика, камня.;WEICON Easy-Mix Metal (50 мл) эпоксидный клей;Двухкомпонентные клеящие составы на основе эпоксидной смолы и отвердителя с наполнением из металла и минералов. Для ремонта металлических изделий, изделий из керамики, стекла, пластика, камня.
177434;WEICON Easy-Mix PE-PP 45 (38 мл) Высокопрочный двухкомпонентный конструкционный клей. Для РЕ-РР.;Двухкомпонентный клей на основе метилакрилата с сильной адгезией низкоэнергетичных пластиков и пластмасс;WEICON Easy-Mix PE-PP 45 (38 мл) двухкомпонентный конструкционный клей для РЕ-РР;"&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;strong&gt;WEICON EASY-MIX PE-EP и ?WEICON Easy-Mix PE-PP&lt;/strong&gt; (клей для пвх) – двухкомпонентный конструкционный клей для PE (полиэтилена) и PP (полипропилена) на основе метилакрилата. Его химическая структура обладает высокой силой адгезии низкоэнергетичных пластиков и пластмасс PE, PP и TPE.?&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Предварительная обработка поверхностей не требуется!?&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Кроме того, &lt;strong&gt;WEICON Easy-Mix PE-PP&lt;/strong&gt; (клей для пвх) может использоваться как универсальный клей для материалов:?&lt;/p&gt;
&lt;table border=&quot;0&quot;&gt;
&lt;tbody&gt;
&lt;tr&gt;
&lt;td&gt;
&lt;ul&gt;
&lt;li&gt;Твердый PVC (поливинилхлорид)?;&lt;/li&gt;
&lt;li&gt;РА (полиамид)?;&lt;/li&gt;
&lt;li&gt;PC (поликарбонат);&lt;/li&gt;
&lt;li&gt;?ABS (акрилонитрил-бутадиена стирол)?;&lt;/li&gt;
&lt;li&gt;PMMA (полиметил метакрилат);&lt;/li&gt;
&lt;li&gt;?Армированные высокопрочным волокном материалы (GRP, CRP, стекловолокно)&lt;/li&gt;
&lt;li&gt;и многих других.&lt;/li&gt;
&lt;/ul&gt;
&lt;/td&gt;
&lt;/tr&gt;
&lt;/tbody&gt;
&lt;/table&gt;"
177439;WEICON Easy-Mix PU 90 (50 мл) Полиуретановый клей;"Строительство выставочных стендов судостроение, автомобилестроение,
тюнинг транспортных средств мебельная промышленность моделестроении, производство форм";WEICON Easy-Mix PU 90 (50 мл) полиуретановый клей;"Строительство выставочных стендов судостроение, автомобилестроение,
тюнинг транспортных средств мебельная промышленность моделестроение, производство форм"
177440;WEICON Easy-Mix PU 240 (50 мл) Полиуретановый клей;"Строительство выставочных стендов судостроение, автомобилестроение,
тюнинг транспортных средств мебельная промышленность моделестроении, производство форм";WEICON Easy-Mix PU 240 (50 мл) полиуретановый клей;"Строительство выставочных стендов судостроение, автомобилестроение,
тюнинг транспортных средств мебельная промышленность моделестроение, производство форм"
177442;WEICON Набор №1 для срочного ремонта на морских судах;Подходит для наиболее распространенных случаев аварийного и технического обслуживания;WEICON Набор №1 для срочного ремонта на морских судах;"&lt;p&gt;Ремонтные наборы предназначены для срочного ремонта на морских судах. Продукты в составе каждого набора позволяют решить все задачи, связанные с аварийными ситуациями на морских судах.  &lt;/p&gt;
&lt;p&gt;&lt;strong&gt;Ремонтный набор №1&lt;/strong&gt; подходит для наиболее распространенных случаев аварийного и технического обслуживания. &lt;/p&gt;
&lt;p&gt; &lt;/p&gt;"
177443;WEICON Набор №2 для срочного ремонта на морских судах;Позволяет устранить большинство аварийных ситуаций на морских судах;WEICON Набор №2 для срочного ремонта на морских судах;"&lt;p&gt;Ремонтные наборы предназначены для срочного ремонта на морских судах. Продукты в составе каждого набора позволяют решить все задачи, связанные с аварийными ситуациями на морских судах.  &lt;/p&gt;
&lt;p&gt;&lt;strong&gt;Ремонтный набор №2&lt;/strong&gt; позволяет устранить большинство аварийных ситуаций на морских судах.&lt;/p&gt;"
177444;WEICON Набор №3 для срочного ремонта на морских судах;Позволяет решить множество проблем с ремонтом на судах;WEICON Набор №3 для срочного ремонта на морских судах;"&lt;p&gt;Ремонтные наборы предназначены для срочного ремонта на морских судах. Продукты в составе каждого набора позволяют решить все задачи, связанные с аварийными ситуациями на морских судах.  &lt;/p&gt;
&lt;p&gt;&lt;strong&gt;Ремонтный набор №3&lt;/strong&gt; позволяет решить множество проблем с ремонтом на судах.&lt;/p&gt;"
177452;WEICON Цинк Спрей (400 мл);Быстросохнущая антикоррозионная грунтовка для металлических поверхностей;Цинк спрей - Zinc Spray;"&lt;p&gt;Компания &lt;strong&gt;Weicon&lt;/strong&gt; представляет уникальный продукт &lt;strong&gt;Zink Spray. &lt;/strong&gt;Он эффективно и просто решает проблему коррозии металлических поверхностей, сварных швов, а так же применяется для ремонта поврежденных оцинкованных поверхностей.&lt;/p&gt;
&lt;p&gt;   Может быть использован как внутри, так и снаружи помещений для нанесения прочного антикоррозионного покрытия. Этот продукт &lt;strong&gt;долговечнее и дешевле большинства аналогов&lt;/strong&gt;, что было неоднократно доказано множеством лабораторных тестов.&lt;/p&gt;"
177490;WEICON Универсальный очиститель Cleaner S (500 мл);Обезжиривает и очищает различные материалы. Удаляет даже сильные масляные загрязнения и смазки. Рекомендуется для подготовки поверхности  перед склеиванием, фиксацией, нанесением защиты.;WEICON Универсальный очиститель Cleaner S (500 мл);"&lt;p&gt;Обезжиривает и очищает материалы: металл, стекло, керамику, пластмассу. Удаляет даже сильные масляные загрязнения и смазки. Рекомендуется для подготовки поверхности перед склеиванием, фиксацией, нанесением защиты и окраски. Быстро выветривается и испаряется без осадка. &lt;/p&gt;"
177522;WEICON W44T Универсальная смазка (400 мл) для всех работ обслуживания и монтажа;Технический аэрозоль универсального назначения, обладающий высокой эффективностью и широким спектром применения для всех работ по обслуживанию и монтажу. Успешно заменяет WD 40;Смазка W44T для обслуживания и монтажа (альтернатива WD 40);Технический аэрозоль универсального назначения, обладающий высокой эффективностью и широким спектром применения для всех работ по обслуживанию и монтажу. Успешно заменяет WD 40
177557;WEICON Корро-защита спрей (400 мл);"Продукт обеспечивает надежную консервационную защиту вашего оборудования; длительную защиту от коррозии металлических поверхностей, деталей, инструментов - при хранении до 2,5 лет в складском помещении";WEICON Корро-защита спрей (400 мл);"&lt;p&gt;&lt;img src=&quot;images/products/weicon/corro_protection small.jpg&quot; alt=&quot;&quot; width=&quot;372&quot; height=&quot;248&quot; style=&quot;float: left; margin: 0 10px 10px 0;&quot; /&gt;&lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;line-height: 1.3em;&quot;&gt;Cпециальное &lt;strong&gt;покрытие &lt;/strong&gt;Corro-Protection&lt;/strong&gt; от WEICON - это уникальная смесь синтетического воска*, ингибиторов коррозии и растворителей.&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Corro-Protection &lt;/strong&gt;обеспечивает надежную консервационную защиту вашего оборудования:&lt;span style=&quot;line-height: 1.3em;&quot;&gt; длительную защиту от коррозии металлических поверхностей, деталей, инструментов, прочих изделий при хранении до 2,5 лет в складском помещении и до 4 месяцев при температуре от -21 до +80° С, что очень удобно во время транспортировки, в том числе и морским способом.&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;em style=&quot;line-height: 1.3em;&quot;&gt;*Восковые составы обладают консервационной защитой металлических поверхностей, что позволяет на долгое время (более 4 месяцев) хранить оборудование на отрытом воздухе, в том числе при морской транспортировке.&lt;/em&gt;&lt;/p&gt;"
177584;WEICON Набор для выявления трещин: wcn11690500 Диффузор (500 мл), wcn11691500 Проявитель (500 мл);WEICON Набор для выявления трещин: wcn11690500 Диффузор (500 мл), wcn11691500 Проявитель (500 мл), wcn11692500 Очиститель (500 мл);WEICON Набор для выявления трещин;"&quot;&lt;p&gt;&lt;strong&gt;Crack Testing Agent&lt;/strong&gt; - набор для выявления дефектов сварки и трещин неразрушающим методом&lt;/p&gt;
&lt;p&gt;Набор состоит из трех спреев:&lt;/p&gt;
&lt;ul&gt;
&lt;li&gt;очистителя/удалителя (1 и 3)&lt;/li&gt;
&lt;li&gt;пенетранта (2)&lt;/li&gt;
&lt;li&gt;проявителя (4)&lt;/li&gt;
&lt;/ul&gt;
&lt;p&gt;Подходит для металлов, многих пластмасс, керамических материалов, стекла.&lt;/p&gt;&quot;
"
177599;"WEICON Contact VA 20 Цианоакрилатный клей (12 г) Основа - этилат. Низкая вязкость &lt; 20 mPa·s. Быстры";Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 20 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177607;WEICON Contact VA 100 Цианоакрилатный клей (12 г) Основа - этилат;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 100 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177613;WEICON Contact VA 110 Цианоакрилатный клей (12 г) Основа - этилат С NSF;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 110 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177617;WEICON Contact VA 1401 Цианоакрилатный клей (12 г) Основа - этилат;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 1401 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177625;WEICON Contact VA 300 Цианоакрилатный клей (12 г) Основа - этилат. Высокая вязкость 200-300 mPa·s. М;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 300 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177630;WEICON Contact VA 1500 Цианоакрилатный клей (12 г) Основа - этилат. Высокая вязкость 1000-1500 mPa·s;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 1500 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177634;WEICON Contact VA 8312 Цианоакрилатный клей (12 г) Основа - этилат. Низкая вязкость 20-40 mPa·s. Быс;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 8312 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177640;WEICON Contact VA 8406 Цианоакрилатный клей (12 г) Основа - этилат;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 8406 цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177646;WEICON Contact VA 1460 Цианоакрилатный клей (30 г) Основа - алкокси. Средняя вязкость 120-200  mPa·s;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 1460 цианоакрилатный клей (30 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177649;WEICON Contact VA 1403 Цианоакрилатный клей (30 г) Основа - алкокси. Высокая вязкость 1100-1800 mPa·;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 1403 цианоакрилатный клей (30 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177652;WEICON Contact VA 1408 Цианоакрилатный клей (30 г) Основа - алкокси. Низкая  вязкость 20-40 mPa·s. Б;Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 1408 цианоакрилатный клей (30 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177655;WEICON Contact VM 20 Цианоакрилатный клей (30 г) Основа - метилат. Низкая вязкость 20-40 mPa·s. Быст;Секундные клеевые составы серии VM на основе метила обеспечивают исключительно прочное соединение металлических изделий. ;WEICON Contact VM 20 цианоакрилатный клей (30 г);Секундные клеевые составы серии VM на основе метила обеспечивают исключительно прочное соединение металлических изделий. 
177658;WEICON Contact VM 120 Цианоакрилатный клей (30 г) Основа - метилат. Средняя вязкость 100-130 mPa·s. ;Секундные клеевые составы серии VM на основе метила обеспечивают исключительно прочное соединение металлических изделий. ;WEICON Contact VM 120 цианоакрилатный клей (30 г);Секундные клеевые составы серии VM на основе метила обеспечивают исключительно прочное соединение металлических изделий. 
177661;WEICON Contact VM 2000 Цианоакрилатный клей (30 г) Основа - метилат. Высокая вязкость 1700-2000 mPa·;Секундные клеевые составы серии VM на основе метила обеспечивают исключительно прочное соединение металлических изделий. ;WEICON Contact VM 2000 цианоакрилатный клей (30 г);Секундные клеевые составы серии VM на основе метила обеспечивают исключительно прочное соединение металлических изделий. 
